index,real-mod,which-found,clinet,server
698,AutoRegLib-1.7-53.jar,autoreglib, 客户端需装, 服务端需装
4485,balm-3.2.6.jar,balm, 客户端需装, 服务端需装
3434,architectury-4.12.94-forge.jar,architectury-api, 客户端可选, 服务端可选
938,Bookshelf-Forge-1.18.2-13.3.56.jar,bookshelf, 客户端需装, 服务端需装
2575,blueprint-1.18.2-5.5.0.jar,blueprint, 客户端需装, 服务端需装
2458,caelus-forge-1.18.1-3.0.0.2.jar,caelus, 客户端需装, 服务端需装
6522,aquatictorches-1.18-1.1.0.jar,aquatic-torches, 客户端需装, 服务端需装
2232,citadel-1.11.3-1.18.2.jar,citadel, 客户端需装, 服务端需装
3989,cardinal-components-api-4.2.0.jar,cardinal-components, 客户端需装, 服务端需装
2346,cloth-config-6.5.116-forge.jar,cloth-config, 客户端可选, 服务端可选
706,coroutil-forge-1.18.2-1.3.6.jar,coroutil, 客户端需装, 服务端需装
669,CraftTweaker-forge-1.18.2-9.1.211.jar,crafttweaker, 客户端需装, 服务端需装
2652,collective-1.18.2-7.7.jar,collective, 客户端可选, 服务端可选
1283,CreativeCore_FORGE_v2.11.27_mc1.18.2.jar,creativecore, 客户端需装, 服务端无效
7412,AnvilNeverTooExpensive-1.18-1.1.jar,nevertooexpensive, 客户端可选, 服务端需装
2029,curios-forge-1.18.2-5.0.9.2.jar,curios, 客户端需装, 服务端需装
8475,chefs-delight-1.0.2-forge-1.18.2.jar,chefs-delight, 客户端需装, 服务端需装
4142,cupboard-1.18.2-1.5.jar,clipboard, 客户端需装, 服务端需装
5009,DistantHorizons-2.2.0-a-1.18.2-forge-fabric.jar.disabled,distant-horizons, 客户端需装, 服务端无效
4985,expandability-6.0.0.jar,expandability, 客户端需装, 服务端需装
4053,fancymenu_forge_3.2.3_MC_1.18.2.jar,fancymenu, 客户端需装, 服务端可选
12028,embeddium-0.3.18+mc1.18.2.jar,embeddium, 客户端需装, 服务端无效
12822,embeddiumplus-1.18.2-v1.2.14.jar,embeddiumplus, 客户端需装, 服务端无效
3184,ftb-library-forge-1802.3.11-build.177.jar,ftb-library-, 客户端需装, 服务端需装
1423,ftb-quests-forge-1802.3.15-build.298.jar,ftb-quests-, 客户端需装, 服务端需装
8277,FriendlyFire-Forge-1.18.2-11.0.4.jar,friendly-fire, 客户端需装, 服务端需装
3205,JEITweaker-1.18.2-3.0.0.9.jar,jeitweaker, 客户端需装, 服务端需装
5838,feature_nbt_deadlock_be_gone_forge-2.0.0+1.18.2.jar,feature-nbt-deadlock-be-gone, 客户端需装, 服务端需装
855,JustEnoughResources-1.18.2-0.14.2.206.jar,just-enough-resources-jer, 客户端需装, 服务端无效
1290,Kiwi-1.18.2-forge-6.1.4.jar,kiwi, 客户端需装, 服务端需装
4213,konkrete_forge_1.8.0_MC_1.18-1.18.2.jar,konkrete, 客户端需装, 服务端无效
None,fdcookbook-1.2.1-beta-forge-1.18.2.jar,None,,
7734,JsonThings-1.18.2-0.4.15.jar,json-things, 客户端需装, 服务端需装
2890,kotlinforforge-3.12.0-all.jar,kotlin-for-, 客户端可选, 服务端可选
3407,lazydfu-1.0-1.18+.jar,lazydfu, 客户端可选, 服务端需装
11182,golemsarefriends-1.18.2-0.1.0.1.jar,golemsarefriends, 客户端需装, 服务端需装
7415,letmedespawn-1.18-forge-1.0.3.jar,let-me-despawn, 客户端可选, 服务端需装
4980,majrusz-library-1.18.2-5.1.2.jar,majrusz-library, 客户端需装, 服务端需装
13601,melody_forge_1.0.1_MC_1.18.2.jar,melody, 客户端需装, 服务端无效
5741,oculus-mc1.18.2-1.6.4.jar,oculus, 客户端需装, 服务端无效
9830,oceansdelight-1.0.0-1.18.2.jar,oceans-delight, 客户端需装, 服务端需装
3170,panorama,runorama, 客户端需装, 服务端无效
4580,PuzzlesLib-v3.5.9-1.18.2-Forge.jar,puzzles-lib, 客户端需装, 服务端需装
10311,modernworldcreation_forge_1.0.0_MC_1.18.2.jar,modernworldcreation, 客户端需装, 服务端无效
7756,Quit-Forge-1.18.2-1.0.1.jar,quit, 客户端需装, 服务端无效
1716,ScalingHealth-1.18.2-6.3.1+6.jar.disabled,scaling-health, 客户端需装, 服务端需装
4159,selene-1.18.2-1.17.16.jar,selene, 客户端需装, 服务端需装
1363,silent-lib-1.18.2-6.2.0.jar,silent-lib, 客户端需装, 服务端需装
13356,quark_delight_1.0.0_forge_1.18.2.jar,quark-delight, 客户端需装, 服务端需装
6793,Structory-1.18.2-1.0.2.jar,structory, 客户端需装, 服务端需装
None,reliquary-1.18.2-2.0.19.1161.jar,None,,
None,L_Enders_Cataclysm-0.51-changed_Them_-1.18.2.jar,None,,
4565,Tinkers'_Delight-1.18.2FORGE-1.0.2.1.jar,tinkers-delight, 客户端需装, 服务端需装
13747,tconjei-1.18.2-1.3.1.jar,tconjei, 客户端需装, 服务端无效
12476,structureessentials-1.18.2-3.0.jar,structure-essentials-, 服务端需装,
11065,TinkersKatanas_v1.1.jar,tinkers-katanas, 客户端需装, 服务端需装
9720,Tinkers_Thinking-1.2.0.jar,tinkers-thinking, 客户端需装, 服务端需装
10502,tinkers_ingenuity-1.6.0.jar,tinkers_ingenuity, 客户端需装, 服务端需装
3851,whats-that-slot-forge-1.2.3+1.18.1.jar,whats-that-slot, 客户端需装, 服务端无效
9863,trade-cycling-forge-1.18.2-1.0.2.jar,trade-cycling, 客户端需装, 服务端需装
3372,YungsApi-1.18.2-Forge-2.2.9.jar,yungs-api, 客户端可选, 服务端需装
1480,[AI改进] AI-Improvements-1.18.2-0.5.2.jar,ai-improvements, 客户端可选, 服务端可选
None,watut-forge-1.18.2-1.0.14.jar,None,,
1815,[FPS减速器] FpsReducer2-forge-1.18.2-2.0.jar,fps-reducer, 客户端需装, 服务端无效
459,[JEI物品管理器] jei-1.18.2-forge-10.2.1.1006.jar,jei, 客户端需装, 服务端可选
3179,[FTB 团队] ftb-teams-forge-1802.2.11-build.107.jar,ftb-teams-, 客户端需装, 服务端需装
2077,[JEI扩展] jeiintegration_1.18.2-9.0.0.37.jar,jei-integration, 客户端需装, 服务端无效
2077,[JER集成] JER-Integration-3.4.0.jar,jei-integration, 客户端需装, 服务端无效
4568,[Majrusz的配件] majruszs-accessories-1.18.2-1.2.3.jar,majruszs-accessories, 客户端需装, 服务端需装
7329,[TexTrue的Embeddium视频界面] textrues_embeddium_options-0.1.1+mc1.18.2.jar,textrues-rubidium-options, 客户端需装, 服务端无效
1483,[Xaero的世界地图] XaerosWorldMap_1.39.0_Forge_1.18.2.jar,xaeros-world-map, 客户端需装, 服务端可选
15979,TradeEnchantmentDisplay-forge-1.0.1+1.18.jar,trade-enchantment-display, 客户端需装, 服务端无效
1701,[Xaero的小地图] Xaeros_Minimap_24.4.0_Forge_1.18.2.jar,xaeros-minimap, 客户端需装, 服务端可选
2788,[YUNG的矿井优化] YungsBetterMineshafts-1.18.2-Forge-2.2.jar,yungs-better-mineshafts-, 客户端可选, 服务端需装
883,[万用皮肤补丁] CustomSkinLoader_ForgeV2-14.20.jar,customskinloader, 客户端需装, 服务端无效
None,[Majrusz的进阶难度] majruszs-difficulty-1.18.2-1.8.1.jar,None,,
811,[下界传送门修正] netherportalfix-forge-1.18.2-9.0.1.jar,netherportalfix, 客户端可选, 服务端需装
1339,[传送石碑／指路石] waystones-forge-1.18.2-10.2.2.jar,waystones, 客户端需装, 服务端需装
4563,[下界乐事] NethersDelight-1.18.2-2.2.0.jar,nethers-delight, 客户端需装, 服务端需装
408,[储物抽屉] StorageDrawers-1.18.2-10.3.0.jar,storage-drawers, 客户端需装, 服务端需装
4288,[免税附魔] TaxFreeLevels-1.3.13-forge-1.20.2.jar,tax-free-levels, 客户端需装, 服务端需装
3170,[全景图] panorama-1.2.0-1.18.2.jar,runorama, 客户端需装, 服务端无效
12175,[YUNG的末地岛屿优化] YungsBetterEndIsland-1.18.2-Forge-1.0.jar,yungs-better-end-island, 客户端需装, 服务端需装
2820,[农夫乐事] FarmersDelight-1.18.2-1.2.3.jar,farmers-delight, 客户端需装, 服务端需装
None,[伤害显示] torohealth-1.18-forge-2.jar,None,,
